FROM_DISPATCH_DATE,FROM_DISPATCH_PERIOD,TO_DISPATCH_DATE,TO_DISPATCH_PERIOD,CONDITION_DESCRIPTION
24-Aug-15,38,24-Aug-15,38,Outage of Tuas 400kV  CB 5-152 on 24 Aug 2015 at 1834Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
26-Aug-15,22,26-Aug-15,22,Outage of Tuas South Ave 3 / Tuas Seawater Desalination Plant 66kV Feeder No. 1 on 26 Aug 2015 at 1043Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
26-Aug-15,29,26-Aug-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 is anticipated to carry out on 26 Aug 2015 from 1410Hrs to 1510Hrs.
26-Aug-15,29,26-Aug-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 was carried out on 26 Aug 2015 from 1405Hrs to 1511Hrs.
26-Aug-15,35,26-Aug-15,36,Fuel changeover test of Generating Unit PACLBLK 1 is anticipated to carry out on 26 Aug 2015 at the following timing. 
Gas to Diesel : At about 1701Hrs. Diesel to Gas : At about 1731Hrs.
26-Aug-15,35,26-Aug-15,36,Fuel changeover test of Generating Unit PACLBLK 1 was carried out and completed on 26 Aug 2015 at the following timing. Gas to Diesel : From 1708Hrs - 1711Hrs. Diesel to Gas : From 1743Hrs - 1745Hrs.
27-Aug-15,37,27-Aug-15,38,Fuel changeover test of Generating Unit KMC BLK4 is anticipated to carry out on 27 Aug 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1831Hrs.
27-Aug-15,37,27-Aug-15,39,Fuel changeover test of Generating Unit KMC BLK4 was carried out and completed on 27 Aug 2015 at the following timing. Gas to Diesel : From 1802Hrs - 1816Hrs. Diesel to Gas : From 1855Hrs - 1903Hrs.
28-Aug-15,13,28-Aug-15,48,Outage of Generating Unit SNK CCP2-GT21 on 28 Aug 2015 at 0601Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
31-Aug-15,29,31-Aug-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 1 was carried out on 31 Aug 2015 from 1404Hrs to 1509Hrs.
31-Aug-15,29,31-Aug-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 1 is anticipated to carry out on 31 Aug 2015 from 1410Hrs to 1510Hrs.
31-Aug-15,37,31-Aug-15,39,Fuel changeover test of Generating Unit SNKCCP4 was carried out and completed on 31 Aug 2015 at the following timing. Gas to Diesel : From 1804Hrs - 1813Hrs. Diesel to Gas : From 1904Hrs - 1914Hrs.
31-Aug-15,37,31-Aug-15,39,Fuel changeover test of Generating Unit SNKCCP4 is anticipated to carry out on 31 Aug 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1901Hrs.
02-Sep-15,35,02-Sep-15,36,Fuel changeover test of Generating Unit PACLBLK 2 was carried out and completed on 2 Sep 2015 at the following timing. Gas to Diesel : From 1703Hrs - 1706Hrs. Diesel to Gas : From 1738Hrs - 1740Hrs.
02-Sep-15,35,02-Sep-15,36,Fuel changeover test of Generating Unit PACLBLK 2 is anticipated to carry out on 02 Sep 2015 at the following timing. Gas to Diesel : At about 1701Hrs. Diesel to Gas : At about 1731Hrs.
03-Sep-15,28,14-Sep-15,48,Due to outage of Ayer Rajah II - Senoko B 230kV Feeder no. 3, the security limit of 320MW shall be applied on the affected feeders at Ayer Rajah II 230kV substation.
04-Sep-15,1,31-Dec-15,48,Due to excess generation expected in SW block and to prevent severe overloading, security limit of 1150MW shall be applied on the affected transformers at Tuas 230kV substation.
04-Sep-15,3,04-Sep-15,48,Outage of Generating Unit KMC BLK4 on 4 Sep 2015 at 0101Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
04-Sep-15,35,04-Sep-15,36,Fuel changeover test of Generating Unit KMC G2-GT12 is anticipated to carry out on 04 Sep 2015 at the following timing. Gas to Diesel : At about 1701Hrs. Diesel to Gas : At about 1731Hrs.
04-Sep-15,35,04-Sep-15,36,Fuel changeover test of Generating Unit KMC G2-GT12 was carried out and completed on 04 Sep 2015 at the following timing. Gas to Diesel : From 1702Hrs - 1705Hrs. Diesel to Gas : From 1744Hrs - 1748Hrs.
04-Sep-15,37,04-Sep-15,37,Load rejection test of Generating Unit TSPBLK1 will be carry out from 200MW to 0MW on 04 Sep 2015 between 1801Hrs to 1830Hrs.
04-Sep-15,41,04-Sep-15,42,Fuel changeover test of Generating Unit KMC G1-GT11 was carried out and completed on 04 Sep 2015 at the following timing. Gas to Diesel : From 2008Hrs - 2011Hrs. Diesel to Gas : From 2047Hrs - 2058Hrs.
04-Sep-15,41,04-Sep-15,42,Fuel changeover test of Generating Unit KMC G1-GT11 is anticipated to carry out on 04 Sep 2015 at the following timing. Gas to Diesel : At about 2001Hrs. Diesel to Gas : At about 2031Hrs.
07-Sep-15,14,07-Sep-15,14,Forced outage of generating unit ENV : TUASSTH : GENR1 at 40MW on 07 Sep 2015 at 06:33Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
07-Sep-15,37,07-Sep-15,38,Fuel changeover test of Generating Unit KMC BLK4 was carried out and completed on 07 Sep 2015 at the following timing. Gas to Diesel : From 1801Hrs - 1811Hrs. Diesel to Gas : From 1851Hrs - 1859Hrs.
07-Sep-15,37,07-Sep-15,38,Fuel changeover test of Generating Unit KMC BLK4 is anticipated to carry out on 07 Sep 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1831Hrs.
08-Sep-15,1,08-Sep-15,48,Outage of Generating Unit NEA TUASSTH GENR1-ST2 on 08 Sep 2015 at 0001Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
09-Sep-15,29,09-Sep-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 is anticipated to carry out on 09 Sep 2015 from 1410Hrs to 1510Hrs.
10-Sep-15,14,10-Sep-15,14,Forced outage of generating unit SNKCCP1 - GASTUR 2 at 65MW on 10 Sep 2015 at 06:32Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
10-Sep-15,29,10-Sep-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 is anticipated to carry out on 10 Sept 2015 from 1410Hrs to 1510Hrs.
10-Sep-15,29,10-Sep-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 was carried out on 10 Sep 2015 from 1424Hrs to 1526Hrs.

10-Sep-15,37,10-Sep-15,38,Fuel changeover test of Generating Unit KMC BLK4 was carried out and completed on 10 Sep 2015 at the following timing. Gas to Diesel : From 1803Hrs - 1813Hrs. Diesel to Gas : From 1850Hrs - 1859Hrs.
10-Sep-15,37,10-Sep-15,38,Fuel changeover test of Generating Unit KMC BLK4 is anticipated to carry out on 10 Sep 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1831Hrs.
11-Sep-15,45,11-Sep-15,45,Forced outage of generating unit INC : SNKO : GENR 1 at 20MW on 11 Sep 2015 at 22:08Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
11-Sep-15,45,12-Sep-15,43,Outage of Generating Unit INC SNKO GENR1 on 11 Sep 2015 at 2210Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
12-Sep-15,43,13-Sep-15,43,Outage of Generating Unit INC SNKO GENR1 on 12 Sep 2015 at 2115Hrs was without Final Approval/Consent.
(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
14-Sep-15,25,15-Sep-15,48,Outage of Generating Unit SNK CCP5 on 14 Sep 2015 at 1201Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
15-Sep-15,37,15-Sep-15,38,Fuel changeover test of Generating Unit KMC BLK3 was carried out and completed on 15 Sep 2015 at the following timing. Gas to Diesel : From 1802Hrs - 1812Hrs. Diesel to Gas : From 1853Hrs - 1901Hrs.
                                               
15-Sep-15,37,15-Sep-15,38,Fuel changeover test of Generating Unit KMC BLK3 is anticipated to carry out on 15 Sep 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1831Hrs.
15-Sep-15,38,15-Sep-15,38,Forced outage of generating unit ENV : TUASSTH : GENR1 at 20MW on 15 Sep 2015 at 18:31Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
16-Sep-15,39,16-Sep-15,40,Fuel changeover test of Generating Unit SNKCCP1-GT12 was carried out and completed on 16 Sep 2015 at the following timing. Gas to Gas : From 1905Hrs - 1908Hrs. Gas to Gas : From 1935Hrs - 1938Hrs.
16-Sep-15,39,16-Sep-15,40,Fuel changeover test of Generating Unit SNKCCP1-GT12 is anticipated to carry out on 16 Sep 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 1931Hrs.
17-Sep-15,13,17-Sep-15,48,Outage of Generating Unit SNK CCP5 on 17 Sep 2015 at 0601Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
17-Sep-15,32,17-Sep-15,32,Forced outage of generating unit ENV : TUAS : GENR1 at 5MW on 17 Sep 2015 at 15:35Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
18-Sep-15,1,23-Sep-15,48,Outage of Generating Unit TUAS CCP5 on 18 Sep 2015 at 0001Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
18-Sep-15,11,18-Sep-15,11,Forced outage of generating unit PACLBLK1 at 98MW on 18 Sep 2015 at 05:15Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
18-Sep-15,17,18-Sep-15,48,Outage of Generating Unit SNK CCP5 on 18 Sep 2015 at 0801Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
22-Sep-15,31,23-Sep-15,48,Outage of Generating Unit TUAS CCP5 on 22 Sep 2015 at 1501Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
23-Sep-15,12,23-Sep-15,12,Forced outage of Ayer Rajah/Stamford 66kV Feeder (Both Ends) on 23 Sep 2015 at 0537Hrs.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of the Forced Outage.) 
23-Sep-15,25,23-Sep-15,25,Forced outage of generating unit SNKCCP4 - CCPST 4 at 130MW on 23 Sep 2015 at 12:22Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
23-Sep-15,27,23-Sep-15,27,High-Risk Operating State commence at 13:01Hrs on 23 Sep 2015. There is an Contingency Reserve Shortfall.
23-Sep-15,28,23-Sep-15,28,Emergency Operating State commence at 13:31Hrs on 23 Sep 2015. There is a Contingency Reserve Shortfall.
23-Sep-15,30,23-Sep-15,30,Normal operating State
23-Sep-15,32,23-Sep-15,32,High Risk Operating State commence at 15:31Hrs on 23 Sep 2015. There is a Contingency Reserve Shortfall.
23-Sep-15,33,23-Sep-15,33,Normal operating State
24-Sep-15,1,25-Sep-15,48,Outage of Generating Unit SNK CCP4 on 24 Sep 2015 at 0001Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
24-Sep-15,35,24-Sep-15,35,Load rejection test of Generating Unit TSPBLK1 will be carry out from 130MW to 0MW on 24 Sept 2015 between 1701Hrs to 1730Hrs.
25-Sep-15,35,25-Sep-15,35,Load rejection test of Generating Unit TSPBLK 1 will be carry out at 130MW on 25 Sep 2015 between 1701Hrs to 1730Hrs.
25-Sep-15,37,25-Sep-15,38,Fuel changeover test of Generating Unit SEMBCCP3 was carried out and completed on 25 Sep 2015 at the following timing. Gas to Diesel : From 1805Hrs - 1815Hrs. Diesel to Gas : From 1847Hrs - 1853Hrs.
25-Sep-15,37,25-Sep-15,38,Fuel changeover test of Generating Unit SEMBCCP3 is anticipated to carry out on 25 Sep 2015 at the following timing. Gas to Diesel : At about 1805Hrs. Diesel to Gas : At about 1845Hrs.
26-Sep-15,25,26-Sep-15,26,Fuel changeover test of Generating Unit SNK CCP1-GT12 is anticipated to carry out on 26 Sep 2015 at the following timing. Gas to Diesel : At about 1201Hrs. Diesel to Gas : At about 1231Hrs.
26-Sep-15,25,26-Sep-15,26,Fuel changeover test of Generating Unit SNK CCP1-GT12 was carried out and completed on 26 Sep 2015 at the following timing. Gas to Diesel : From 1201Hrs - 1204Hrs. Diesel to Gas : From 1240Hrs - 1243Hrs.
27-Sep-15,4,28-Sep-15,14,Outage of Generating Unit SKRA G1-GT11 on 27 Sep 2015 at 0131Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
27-Sep-15,42,27-Sep-15,43,Fuel changeover test of Generating Unit SER CCP1 was carried out and completed on 27 Sep 2015 at the following timing. 
Gas to Diesel : From 2031Hrs - 2034Hrs. Diesel to Gas : From 2110Hrs - 2113Hrs.

27-Sep-15,42,27-Sep-15,43,Fuel changeover test of Generating Unit SER CCP1 is anticipated to carry out on 27 Sep 2015 at the following timing. 
Gas to Diesel : At about 2031Hrs. Diesel to Gas : At about 2101Hrs.
27-Sep-15,46,27-Sep-15,46,Outage of Tampines 66kV Bus Section CB1152 on 27 Sep 2015 at 2239Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
28-Sep-15,25,14-Oct-15,20,To prevent overloading on circuits and to ensure network security during contingencies, a security limit of 460MW shall be applied on the affected feeders at Ayer Rajah II 230kV substation.
28-Sep-15,25,31-Dec-15,48,To prevent overloading on circuits and to ensure network security during contingencies, the security limit of 460MW shall be applied on the affected feeders at Ayer Rajah II 230kV substation.
28-Sep-15,33,28-Sep-15,33,Forced outage of generating unit TSPBLK1 at 120MW on 28 Sep 2015 at 16:09Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
28-Sep-15,47,28-Sep-15,48,Fuel changeover test of Generating Unit TUAS CCP5 is anticipated to carry out on 28 Sep 2015 at the following timing. Gas to Gas : At about 2301Hrs. Gas to Gas : At about 2331Hrs.
28-Sep-15,47,28-Sep-15,48,Fuel changeover test of Generating Unit TUAS CCP5 was carried out and completed on 28 Sep 2015 at the following timing. Gas to Gas : From 2305Hrs - 2307Hrs. Gas to Gas : From 2340Hrs - 2347Hrs.
29-Sep-15,13,29-Sep-15,13,Forced outage of generating unit SERCCP1 at 243MW on 29 Sep 2015 at 06:10Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
29-Sep-15,18,29-Sep-15,48,Outage of Generating Unit SER CCP1 on 29 Sep 2015 at 0831Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
02-Oct-15,15,02-Oct-15,38,Fuel changeover test of Generating Unit TUAS CCP3 was carried out and completed on 02 Oct 2015 at the following timing. Gas to Diesel : From 0700Hrs - 0704Hrs. Diesel to Gas : From 1830Hrs - 1834Hrs.
02-Oct-15,15,02-Oct-15,38,Fuel changeover test of Generating Unit TUAS CCP3 is anticipated to carry out on 02 Oct 2015 at the following timing. Gas to Diesel : At about 0701Hrs. Diesel to Gas : At about 1831Hrs.
02-Oct-15,39,02-Oct-15,40,Fuel changeover test of Generating Unit SNKCCP4 is anticipated to carry out on 02 Oct 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 1931Hrs.
02-Oct-15,39,02-Oct-15,40,Fuel changeover test of Generating Unit SNKCCP4 was carried out and completed on 02 Oct 2015 at the following timing. Gas to Gas : From 1905Hrs - 1909Hrs. Gas to Gas : From 1940Hrs - 1944Hrs.
03-Oct-15,1,03-Oct-15,48,Outage of Generating Unit TUAS CCP2 on 03 Oct 2015 at 0001Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
03-Oct-15,2,04-Oct-15,48,Outage of Generating Unit SER CCP1 on 03 Oct 2015 at 0049Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
03-Oct-15,40,03-Oct-15,41,Fuel changeover test of Generating Unit SER CCP2 is anticipated to carry out on 03 Oct 2015 at the following timing. Gas to Gas : At about 1931Hrs. Gas to Gas : At about 2001Hrs.
03-Oct-15,40,03-Oct-15,41,Fuel changeover test of Generating Unit SER CCP2 was carried out and completed on 03 Oct 2015 at the following timing. Gas to Gas : From 1931Hrs - 1935Hrs. Gas to Gas : From 2023Hrs - 2027Hrs.
06-Oct-15,29,06-Oct-15,29,Forced outage of generating unit TUASCCP2 at 267MW on 06 Oct 2015 at 14:11Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
06-Oct-15,33,06-Oct-15,35,Generating Unit TSP BLK1 did not complete the Fuel changeover test on 06 OCT 2015.
06-Oct-15,33,06-Oct-15,35,Fuel changeover test of Generating Unit TSP BLK1 is anticipated to carry out on 06 Oct 2015 at the following timing. Gas to Diesel : At about 1601Hrs. Diesel to Gas : At about 1701Hrs.
06-Oct-15,37,06-Oct-15,39,Fuel changeover test of Generating Unit TSP BLK1 is anticipated to carry out on 06 Oct 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1901Hrs.
06-Oct-15,38,06-Oct-15,38,Fuel changeover test of Generating Unit TSP BLK1 was completed on 06 Oct 2015 at 1844Hrs.
06-Oct-15,41,06-Oct-15,43,Fuel changeover test of Generating Unit SER CCP1 is anticipated to carry out on 06 Oct 2015 at the following timing. Gas to Gas : At about 2001Hrs. Gas to Gas : At about 2101Hrs.
06-Oct-15,41,06-Oct-15,43,Fuel changeover test of Generating Unit SER CCP1 was carried out and completed on 06 Oct 2015 at the following timing. Gas to Gas : From 2005Hrs - 2009Hrs. Gas to Gas : From 2105Hrs - 2113Hrs.
07-Oct-15,20,07-Oct-15,20,Forced outage of generating unit SERCCP3 at 343MW on 07 Oct 2015 at 09:37Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
07-Oct-15,20,07-Oct-15,20,Activate scheduled contingency reserve from Load Facilities. Must deliver within 10 Minutes.
07-Oct-15,22,07-Oct-15,22,Load interrupted can be restored with immediate effect.
10-Oct-15,19,10-Oct-15,44,Outage of Generating Unit TUAS CCP1 on 10 Oct 2015 at 0901Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
12-Oct-15,47,12-Oct-15,47,Outage of Upper Jurong 230kV B/C No.1 on 12 Oct 2015 at 2321Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
13-Oct-15,42,13-Oct-15,43,Fuel changeover test of Generating Unit SNK CCP5 is anticipated to carry out on 13 Oct 2015 at the following timing. Gas to Gas : At about 2031Hrs. Gas to Gas : At about 2101Hrs.
13-Oct-15,42,13-Oct-15,43,Fuel changeover test of Generating Unit SNK CCP5 was carried out and completed on 13 Oct 2015 at the following timing. Gas to Gas : From 2035Hrs - 2040Hrs. Gas to Gas : From 2111Hrs - 2116Hrs.
14-Oct-15,21,14-Oct-15,44,Due to outage of Ayer Rajah II - Senoko B 230kV Feeder no. 2, a security limit of 300MW shall be applied on the affected feeders at Ayer Rajah II 230kV substation.
14-Oct-15,45,31-Dec-15,48,To prevent overloading on circuits and to ensure network security during contingencies, a security limit of 460MW shall be applied on the affected feeders at Ayer Rajah II 230kV substation.
15-Oct-15,18,15-Oct-15,34,ConocoPhillips Onshore Receiving Facility (ORF)  maintenance work has completed for 15 Oct 2015 at 15:01Hrs. ConocoPhillips ORF is back to normal operating mode. Maintenance work will continue on 16 Oct 2015 at 0900Hrs. 
15-Oct-15,18,16-Oct-15,34,: ConocoPhillips Onshore Receiving Facility (ORF)  maintenance work has completed on 16 Oct 2015 at 16:20Hrs. ConocoPhillips ORF is back to normal operating mode. 
15-Oct-15,18,16-Oct-15,34,ConocoPhillips Onshore Receiving Facility (ORF) will be carrying out maintenance work from 15 Oct 2015 and 16 Oct 2015 at 0900Hrs to 1700Hrs on each day. ConocoPhillips ORF will be in single point of failure mode. 
15-Oct-15,37,15-Oct-15,37, Load rejection test of Generating Unit TSPBLK1 will be carry out from 385MW to 0MW on 15 Oct 2015 between 1801Hrs to 1830Hrs.
16-Oct-15,37,16-Oct-15,37,Load rejection test of Generating Unit TSPBLK1 will be carry out from 385MW to 0MW on 16 Oct 2015 between 1801Hrs to 1830Hrs.
16-Oct-15,39,16-Oct-15,41,Fuel changeover test of Generating Unit SNKCCP6 is anticipated to carry out on 16 Oct 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 2001Hrs.
16-Oct-15,39,16-Oct-15,41,Fuel changeover test of Generating Unit SNKCCP6 was carried out and completed on 16 Oct 2015 at the following timing. Gas to Gas : From 1901Hrs - 1911Hrs. Gas to Gas : From 2013Hrs - 2023Hrs.
19-Oct-15,14,19-Oct-15,14,Forced outage of generating unit KMCBLK3 at 283MW on 19 Oct 2015 at 06:42Hrs. (The relevant Market Participant to submit a preliminary report within 24hours and a detailed report within 1 week of the Forced Outage.)
20-Oct-15,35,20-Oct-15,37,Fuel changeover test of Generating Unit TSP BLK1 is anticipated to carry out on 20 OCT 2015 at the following timing. Gas to Diesel : At about 1701Hrs. Diesel to Gas : At about 1801Hrs.
20-Oct-15,39,20-Oct-15,41,Fuel changeover test of Generating Unit SNK CCP7 is anticipated to carry out on 20 Oct 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 2001Hrs.
20-Oct-15,39,20-Oct-15,41,Fuel changeover test of Generating Unit SNK CCP7 was carried out and completed on 20 Oct 2015 at the following timing. Gas to Gas : From 1901Hrs - 1910Hrs. Gas to Gas : From 2012Hrs - 2020Hrs.
21-Oct-15,15,21-Oct-15,15,Forced outage of a Kallang Basin I 66kV CB 1352 on 21 Oct 2015 at 0705Hrs.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week  of the Forced Outage.)
21-Oct-15,27,21-Oct-15,27,Forced outage of  Jurong East /CCK 66kV feeder on 21 Oct 2015 at 1318Hrs.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of the Forced Outage.)
21-Oct-15,28,21-Oct-15,28,Outage of Pulau Merlimau 66kV SRC TF 4 on 21 Oct 2015 at 1348Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
21-Oct-15,35,21-Oct-15,35,Load rejection test of Generating Unit TSPBLK1 will be carry out from 385MW to 0MW on 21 Oct 2015 between 1701Hrs to 1730Hrs.
21-Oct-15,37,21-Oct-15,39,Fuel changeover test of Generating Unit SNK CCP5 is anticipated to carry out on 21 Oct 2015 at the following timing. Gas to Diesel : At about 1801Hrs. Diesel to Gas : At about 1901Hrs.
21-Oct-15,37,21-Oct-15,39,Fuel changeover test of Generating Unit SNK CCP5 was carried out and completed on 21 Oct 2015 at the following timing. Gas to Diesel : From 1804Hrs - 1811Hrs. Diesel to Gas : From 1904Hrs - 1909Hrs.
22-Oct-15,29,22-Oct-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 was carried out on 22 Oct 2015 from 1412Hrs to 1518Hrs
22-Oct-15,29,22-Oct-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 2 is anticipated to carry out on 22 Oct 2015 from 1410Hrs to 1510Hrs.
23-Oct-15,37,23-Oct-15,38,Fuel changeover test of Generating Unit SNK CCP3 was carried out and completed on 23 Oct 2015 at the following timing. Gas to Gas : From 1801Hrs - 1808Hrs. Gas to Gas : From 1839Hrs - 1845Hrs.
23-Oct-15,37,23-Oct-15,38,Fuel changeover test of Generating Unit SNK CCP3 is anticipated to carry out on 23 Oct 2015 at the following timing. Gas to Gas : At about 1801Hrs. Gas to Gas : At about 1831Hrs.
24-Oct-15,17,24-Oct-15,36,Outage of Generating Unit Tuas CCP1 on 24 Oct 2015 at  0801Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
24-Oct-15,39,24-Oct-15,41,Fuel changeover test of Generating Unit SER CCP3 was carried out and completed on 24 Oct 2015 at the following timing. Gas to Gas : From 1905Hrs - 1909Hrs. Gas to Gas : From 2001Hrs - 2005Hrs.
24-Oct-15,39,24-Oct-15,41,Fuel changeover test of Generating Unit SER CCP3 is anticipated to carry out on 24 Oct 2015 at the following timing. Gas to Gas : At about 1901Hrs. Gas to Gas : At about 2001Hrs.
24-Oct-15,45,24-Oct-15,47,Fuel changeover test of Generating Unit SER CCP4 was carried out and completed on 24 Oct 2015 at the following timing. 
Gas to Gas : From 2201Hrs - 2205Hrs. Gas to Gas : From 2302Hrs - 2307Hrs.
24-Oct-15,45,24-Oct-15,47,Fuel changeover test of Generating Unit SER CCP4 is anticipated to carry out on 24 Oct 2015 at the following timing. Gas to Gas : At about 2201Hrs. Gas to Gas : At about 2301Hrs.
26-Oct-15,29,26-Oct-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 1 is anticipated to carry out on 26 Oct 2015 from 1410Hrs to 1510Hrs.
26-Oct-15,29,26-Oct-15,31,Testing of Black Start Facility at Seraya Power Station - Ser BSGT 1 was carried out on 26 Oct 2015 from 1407Hrs to 1514Hrs.
28-Oct-15,1,30-Oct-15,48,Outage of Generating Unit SNK CCP2-ST20 on 28 OCT 2015 at 0001Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
28-Oct-15,42,28-Oct-15,42,Outage of Tampines 66kV / Tampines Wafer 66kV Feeder No. 2 on 28 Oct 2015 at 2046Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
29-Oct-15,6,30-Oct-15,48,Outage of Generating Unit KMC BLK 3  on 29 OCT 2015 at 0231Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
30-Oct-15,1,31-Oct-15,48,Outage of New Mobil 66kV - 64MVA Customer Transformer No.1 on 30 Oct 2015 at 0001Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
30-Oct-15,25,09-Nov-15,36,Outage of Generating Unit SLNG G2 on 30 Oct 2015 at 1201Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
30-Oct-15,25,09-Nov-15,36,Outage of Generating Unit SLNG G1 on 30 Oct 2015 at 1201Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
31-Oct-15,39,01-Nov-15,48,Outage of Generating Unit Jur GT2 on 31 Oct 2015 at 1901Hrs was without Final Approval/Consent.(The relevant Market Participant to submit a preliminary report within 24hours & a detailed report within 1 week of this notice.)
